nuid,year,birth_year,female,white,black,hisp,asian,natam,missing,group,awd_perf,cmpl_civ,trr_new,arrest_total,tenure,L_cmpl_civ,L_arrest_total,L_trr_new,tenure2,tenure3,L_cmpl_civ2,L_cmpl_civ3,L_arrest_total2,L_arrest_total3,L_trr_new2,L_trr_new3
2556,2015,1983,1,1,0,0,0,0,0,135,19,2,0,28,6.0833335,0,53,2,37.006947,225.1256,0,0,2809,148877,4,8
2605,2014,1977,0,0,1,0,0,0,0,203,3,0,0,8,2.25,,,,5.0625,11.390625,,,,,,
2605,2015,1977,0,0,1,0,0,0,0,203,10,0,0,21,3.25,0,8,0,10.5625,34.328125,0,0,64,512,0,0
2632,2009,1973,0,1,0,0,0,0,0,46,12,2,4,46,2.4166667,,,,5.8402781,14.114006,,,,,,
2632,2010,1973,0,1,0,0,0,0,0,46,14,1,1,120,3.4166667,2,46,4,11.673612,39.884842,4,8,2116,97336,16,64
2632,2011,1973,0,1,0,0,0,0,0,46,9,0,1,132,4.4166665,1,120,1,19.506943,86.155663,1,1,14400,1728000,1,1
2632,2012,1973,0,1,0,0,0,0,0,46,4,0,1,99,5.4166665,0,132,1,29.340277,158.92648,0,0,17424,2299968,1,1
2632,2013,1973,0,1,0,0,0,0,0,46,6,1,1,40,6.4166665,0,99,1,41.173611,264.19733,0,0,9801,970299,1,1
2632,2014,1973,0,1,0,0,0,0,0,46,2,0,0,13,7.4166665,1,40,1,55.006943,407.96814,1,1,1600,64000,1,1
2632,2015,1973,0,1,0,0,0,0,0,46,2,0,0,42,8.416667,0,13,0,70.840286,596.23907,0,0,169,2197,0,0
2659,2012,1972,0,0,1,0,0,0,0,154,12,1,0,13,2.3333333,,,,5.4444442,12.703702,,,,,,
2659,2013,1972,0,0,1,0,0,0,0,154,14,2,3,27,3.3333333,1,13,0,11.111111,37.037033,1,1,169,2197,0,0
2659,2014,1972,0,0,1,0,0,0,0,154,4,2,3,20,4.3333335,2,27,3,18.777779,81.370377,4,8,729,19683,9,27
2659,2015,1972,0,0,1,0,0,0,0,154,4,0,3,22,5.3333335,2,20,3,28.444447,151.70372,4,8,400,8000,9,27
2665,2014,1978,0,0,0,1,0,0,0,221,2,0,0,18,1.9166666,,,,3.6736109,7.0410876,,,,,,
2665,2015,1978,0,0,0,1,0,0,0,221,3,0,5,36,2.9166667,0,18,0,8.5069447,24.811924,0,0,324,5832,0,0
2680,2014,1985,1,0,1,0,0,0,0,221,0,0,0,11,1.8333334,,,,3.3611112,6.1620374,,,,,,
2680,2015,1985,1,0,1,0,0,0,0,221,3,3,2,17,2.8333333,0,11,0,8.0277777,22.745369,0,0,121,1331,0,0
2722,2014,1976,0,1,0,0,0,0,0,218,9,1,0,35,1.8333334,,,,3.3611112,6.1620374,,,,,,
2722,2015,1976,0,1,0,0,0,0,0,218,3,0,4,42,2.8333333,1,35,0,8.0277777,22.745369,1,1,1225,42875,0,0
2731,2014,1981,0,1,0,0,0,0,0,217,4,0,1,5,1.9166666,,,,3.6736109,7.0410876,,,,,,
2731,2015,1981,0,1,0,0,0,0,0,217,0,1,0,16,2.9166667,0,5,1,8.5069447,24.811924,0,0,25,125,1,1
2797,2008,1984,0,1,0,0,0,0,0,14,3,1,1,19,1.75,,,,3.0625,5.359375,,,,,,
2797,2009,1984,0,1,0,0,0,0,0,14,26,1,5,84,2.75,1,19,1,7.5625,20.796875,1,1,361,6859,1,1
2797,2010,1984,0,1,0,0,0,0,0,14,23,2,14,89,3.75,1,84,5,14.0625,52.734375,1,1,7056,592704,25,125
2797,2011,1984,0,1,0,0,0,0,0,14,12,0,7,49,4.75,2,89,14,22.5625,107.17188,4,8,7921,704969,196,2744
2797,2012,1984,0,1,0,0,0,0,0,14,4,0,1,15,5.75,0,49,7,33.0625,190.10938,0,0,2401,117649,49,343
2797,2013,1984,0,1,0,0,0,0,0,14,20,1,5,53,6.75,0,15,1,45.5625,307.54688,0,0,225,3375,1,1
2797,2014,1984,0,1,0,0,0,0,0,14,22,1,3,83,7.75,1,53,5,60.0625,465.48438,1,1,2809,148877,25,125
2797,2015,1984,0,1,0,0,0,0,0,14,49,1,5,63,8.75,1,83,3,76.5625,669.92188,1,1,6889,571787,9,27
